sentiment,review_body,product_category
1,I had the priviledge of trying this on during the 20% off tops sale  too bad but the store only had regualr sizes  and xs was the smallest. i am not super tiny (read have muscles)  but this looked huge on me. love the colros and textures though  the line in the back is pretty and adds charm when you turn around  and the combo of all the colros is awesome  but i would need a xxs or perhaps a petite (though it is short  so not sure about petite)... soft  but try a smaller size...,Blouses
1,Very cute on  fits well. versatile top  i think it will work well with a sweater or blazer for fall.,Blouses
1,This is a truly exquisite top. it looks exactly as it does online with cascades of delicately embroidered flowers on front and back and a slightly ruffled neck. very chic and versatile with skirts or pants.  material is very light and chiffon like and it's fully lined so no need for a cami. it's ever so slightly see-through in the sections that are not embroidered but only in very intense light.  it fits tts  i usually get petite sizes but i got a xxs regular because i wanted a longer length and,Blouses
1,This shirt is simply pretty. it's light and dresses up a distressed pair of jeans.,Blouses
-1,The design is very strange. the inner slip is quite form-fitting  but the dress on top was just massive  like a sack. on the sides were tassels that i could not figure out what to do with. they looked weird just hanging off the side  so i tried to knot them like a belt. overall  this dress was not attractive on. it looks much better on the model. the coloring on the snakeskin print dress is also different in real life  harsher red  blue  and white print not the dusty rose and plum pictured.,Dresses
-1,Ugh  the fit of this dress is terrible :/ what a beautiful dress though -- the material and the colors -- had so much potential. but  the fit is awful -- i ordered by regular size and the top was more or less ok  if not a tad big  but hip down was crazy tight that i couldn't even zip it without a ton of effort. i don't think sizing up will help because then the top will be even bigger. disappointing.,Dresses
-1,The dress didn't meet my expectations  specifically the color  the texture  and the cut of the dress. although the dress was very well made  it just wasn't right for me.,Dresses
-1,I really loved this in the catalog. the fabric and details are very pretty. however it's a lot of fabric without much form. my husband suggested it for maternity (not realizing it has fitted slip). not for curvy/ hourglass.  had to send it back.,Dresses
-1,Sadly  this dress was trashed after wearing it for an hour. it snagged on everything -- my watch  my purse  my necklace. i had to go home  change  and return the dress later. impractical fabric ruined an otherwise lovely dress.,Dresses
-1,This is very large.  i normally am a s/m and i took this in an x.  it is a beautiful dress in color and fit but picks up any stain and i have had to have it dry cleaned after every use.,Dresses
-1,I returned this dress because the material is so flimsy and thin. i was expecting higher quality  especially for the price. i was disappointed. it is a pretty dress and fit great  but i felt like i was wearing tissue paper.,Dresses
-1,This dress is not flattering. the slip is very small and short and the dress is big and billowy. like the other reviewer said  its more like a tablecloth that you stick your head through. it was really hard to figure out how to cinch in the waist but it didn't help regardless. the length is not accurate either. i would say it's a pretty short dress (mid thigh) but that probably depends on the person. it also makes you look very horizontal. i was really excited about this dress but it's getting r,Dresses
-1,I recommend this dress because it is beautiful  stylish and well made even though it did not work for me. i tried the small and extra small. the first - way too big  lengthwise (hit my knees) as well as in the shoulders - the latter to tight across the chest - not for me but worth a try. i am typically a small with usually never have a problem with length.,Dresses
0,I wanted to love this dress  especially because it's been given good reviews. i ordered the blue and tried it on. the fit was pretty good and the color is pretty and deep. i did not like the seam that ran around the drop waist. it created a weird allusion that the two pockets in front was actually a continuous pouch around the dress. i also did not like the neckline - there is fabric added on the shoulders that's in a different fabric and makes it look like you're wearing a t-shirt underneath th,Dresses
0,This dress is beautiful. very vibrant and rich looking...however  after wearing it to work the back of the dress was completely stretched out from sitting in my office chair. when i stood up a little bubble remained around my butt. not attractive. i wanted to love it but it's going back.,Dresses
0,Looks better online than in person. material makes it look a little puffy,Dresses
0,I know this is supposed to be a loose  flowy fit which is exactly the style i love. however  this is beyond tent-like. i'm 40 weeks pregnant and i can probably fit two of me in my normal size small. fabric is very thin and pattern looks like drab wallpaper. huge bummer  especially after seeing a few 5-stars.,Dresses
0,I so wanted to love this but was underwhelmed - ii am tall but yet it hit below my knee in that awkward spot that is just a tad too long to be hip stylish and too short to be evening cocktail - just felt / looked frumpy ... i do think it looks great on other reviewers though so may just be that if wasn't a good fit for my body type - i wore my normal size 6 and it just didn't flatter - made me feel 10 years older,Dresses
0,This is a beautiful dress except i expected it to be more flowy. the fabric is much more stuff than i thought it would be.,Dresses
0,This dress is such a crazy beautiful color  the picture doesn't do it justice. i ordered this right when i saw it  and i almost love it. the color is very bright and the fabric seems nice  but i just didn't find it flattering at all. the slip wasn't the nicest  but completely not a deal breaker. i didn't think it was overly flattering on the model either  so i was hoping by some miracle that i would like it anyway  but something about the way it's cut is just a little off for me. it was very tru,Dresses
0,"I like the feel  stretch and softness of this dress  it's very comfortable. sadly  as others have commented  the armhole openings are just too long causing the dress to fit and look a little off around the chest area on me. i considered sizing down to a 4  but it fit beautifully other than the armhole area. unfortunately it will have to go back. i am 5'7"" 120 lbs  34d and ordered a 6.",Dresses
0,I so wanted to love this dress  but the bell sleeves were enormous! if you're standing completely still with your arms down they look cool  but if you move your arms at all it looks like you have wings. the rest of the dress was beautiful  though  and a flattering swingy shape even on an hourglass/pear shaped figure. i would recommend sizing down  as the dress runs large.,Dresses
1,This dress is a beautiful  classic dress that is figure flattering and as stunning in person as it is in the photo. i love it!!!,Dresses
1,At the altar of bailey 44!  all hail the 'gathered stripes dress' because it can do nothing wrong  especially to my body.  i got the mp and this piece totally enhances what little i've got.  so happy!,Dresses
1,Adore the bright embroidery against the black background!  mine was well done and no loose threads.  although this is all synthetic fabric (which i hate paying for!) but i couldn't help myself once i tried it on.  it's very roomy and if you're slender  size down unless you prefer the breezy swingy look like i do.  this is a three season dress that will do well with layers and without.  i picked regular hem instead of petite and it actually looks slimmer on me than the shorter version.,Dresses
1,I love the colors  and saw the xxs p in a store  so tried it on  but sadly  that was still a lot of fabric on me. i think if you have very small thin arms  that may work  but with muscles  it just made me look bigger than i am... the design (pattern) is really nice though. 115 lbs  30 dd flat,Dresses
1,Although the dress is heavy like other reviews mentioned  it is sturdy enough to not be see through and the material is extremely soft. i am currently an xs or small in nearly all retailer clothing however a d cup bra  i think that if you are a smaller person the dress may be too much to carry  but for those of us that find it is sometimes hard to get a great fit on top and still fitted through the waist ...it is perfect! many compliments & the hem is so fun...also other reviews mentioned the bow,Dresses
1,I love this tunic! it runs slightly large. i ordered my usual size small (i am 5'4'' 125lbs) and it is a looser fit but falls nicely. i wear it as a dress  and the blue/gray color is so pretty!,Dresses
1,Could not let it pass at a sale price. got the 0p and its a bit snug on the waist (25 waist  34a  102lbs) otherwise its perfect. will keep the size. dress hits me just above knee like in the picture. its beautiful in person. the details  the quality  the flattering fit...perfect,Dresses
1,"I really like this dress. despite the somewhat gathered skirt  it has a clean line and doesn't add a lot of volume around the hips. the blue is a great color. the length is well above the knee but i'm 5'10"". i can see wearing this dress in the fall with leggings or tights and boots.",Dresses
1,This dress! the picture doesn't do the dress justice. its so beautiful  well made  and unique. lots of beading and detailing for the price. i'm super happy with my purchase !,Dresses
-1,This hoodie was too thin. you can see right through it. i returned it.,Fine gauge
-1,This sweater was not as featured in the picture. the front is completely cropped while the back is regular length. the front barely reached the middle of my stomach. also  the color was not as vibrant as shown in the picture. this sweater will be going back.,Fine gauge
-1,I read the existing reviews  before purchasing  and a few mentioned that this sweater ran large. this has been my experience with most tops i have purchased from retailer. i figured by ordering a medium  i would receive a slightly loose to moderately loose fitting sweater. this was not the case! the sweater is short  does not look anything like it does when you view the model from behind (and i assume the model is taller than i...as models are usually tall). for reference  i am 5'6''  medium build,Fine gauge
-1,Online  this looks like a great sweater. i ordered an xxsp and found that this sweater is much wider in the middle than pictured. in fact  i'm pretty sure they pinned the shirt in the back for the picture to make it appear slimmer. unfortunately  this sweater will not work for me  as i am an hourglass shape and this shirt makes me look 20 pounds heavier.,Fine gauge
-1,I was very disappointed when it arrived and had elbow length sleeves. from the photo  it looked like full length sleeves. it went back.,Fine gauge
-1,I wanted this sweater to work but sadly it failed. first  the pink was way to sheer for my liking. the sheerness caused a weird color overlap on the stomach area. then the band at the bottom was too tight causing a weird ballooning affect. a shirt underneath could work but it takes away from the beauty of the knit. the soft pink is gorgeous but not good for medium to light skinned folks.,Fine gauge
-1,The sweater material was really soft and seemed well-made. the back is an interesting twist  but the material creases easily; i can see it looking messy by the end of the day. the main reason i returned it though was because it runs very large. i got my usual s  and i could have sized down 1  maybe even 2 sizes. i didn't like it enough to try a smaller size.,Fine gauge
-1,After washing this top pilled terribly. it is beautiful  but only for one use.,Fine gauge
-1,I'm returning this cardigan. it doesn't fit me at all. it's shapeless and loose.,Fine gauge
0,This top is pretty and i'm sad it didn't work out for me. i'm 5'9  145 lbs and i found it to be short and boxy in the torso (tried on a s  m and l). also material in the front is super staticky - i hate that feeling.,Fine gauge
0,So when i saw a sweater with a big llama face on the front of it  i knew it must be mine. i ordered it and eagerly awaited its arrival. while the llama print and color of the sweater are ah-mazing  the fit of the sweater leaves something to be desired. i'm a 36 dd and mostly a size l  so that's what i ordered. it wasn't snug  but it didn't have the cut to pull off the oversized drapey look  so the areas where it was loose looked...strange. the sleeves were really long too  but i could have rolle,Fine gauge
0,"I am about 5'6""  135 lbs and usually wear between a small or a medium. i ordered a small  as another reviewer did. right when i took it out of the packaging  i could see that it was going to be much shorter than you can tell from the online photo. i knew the sweater was going to be cropped  but it falls right at the top of my hip bones. when i raise my arms up  my whole midriff shows. did not flatter my athletic build at all. the fit around the shoulders and chest is fine  skimming but not tight",Fine gauge
0,The colors on this sweater are cute  the fabric is good quality and not too thick for spring. the fit is tts.,Fine gauge
0,This sweater is great i bought the black version on sale. my complaint is the pulling factor though. you don't expect retailer sweaters to pill after a couple wears. overall i love the fit and look though so i continue to overlook it and use my sweater comb as needed!,Fine gauge
0,This sweater is much more cropped than shown. the sweater i received was only 24 inches long. the color of the trim is black  not the navy or plum that i expected. quality does seem good.,Fine gauge
0,Dang  i got a small and was still swimming in it. it's made of the fabric that increasingly seems to be the fabric of choice for all things t-shirty- soft and thin-ish  a bit translucent. i'd rather wait for something more formfitting and flattering- back it went.,Fine gauge
0,This thing sheds so much it's almost unuseable but i used an entire roll of sticky roller and got it to the point where i could wear it with only a glob of fuzz on my underwear not other people's couches. it's cute and fits well other than that. buy a sticky roller!,Fine gauge
0,This has a sparkle that you can't see in the pictures. i returned it. the design is cute but not worth the price.,Fine gauge
1,This cardigan caught my eye and i had no idea how soft and wonderful it would feel so it's a win-win! it hangs a little boxy so i'll need to figure out how to style it so it's more flattering. the pockets are a pretty gold color (you can see it from the inside) and adds a nice touch of color. it's a keeper!,Fine gauge
1,This top comes in 4 lovely colors  too bad only one of htem looks decent on my skin tone (purple)  though i might have gotten away with the silvery grey. fit: nice falttering line  flares at the bottom and is loose aroun d the waist  so if you ahve a problem area  nice coverage. feel: super soft - nuff said ;-) versatility: i am not sure it will look great with everything on my body type  but definitly a nice pair of jeans (flare or skinny with boots) a and may try the pencil skirt look like the,Fine gauge
1,I was very happy to receive this as a birthday gift. i usually wear an xs or s in clothes i buy from retailer. i was given this in a s  but it wasn't even close to meeting in the front  so i returned it for a m. it doesn't button anyway  but i didn't want it to look like it wouldn't meet at all. i tried on a size s sweater in this brand while i was in the store  and it fit perfectly  so this one is just running small. overall  i love the lace detail on the front and the softness of the sweater.,Fine gauge
1,I ordered this shirt through the website hoping it would look like it did on the model  it does! very nice  thick fabric. fits true to size  no complaints at all.,Fine gauge
1,This is a nicely made and comfortable sweater that is fun to wear. i have worn it with jeans and a t shirt and have received compliments on it.,Fine gauge
1,I bought this lightweight duster in the cream color. it runs a little large through the shoulders so i sized down from my usual l to a size m. its very flattering on  and made with natural fibers such as cotton and linen. i wear this unbuttoned with a tank top  cropped jeans  and sandals.,Fine gauge
1,Found this cute little black sweater on the sale rack in a small and it fit perfect. it is flattering and will look great over a tank top or strappy dress. the little details of chiffon around the collar and the tiny cutout holes around the back  the softness  and the little detail on the back bottom make this a perfect go to sweater for me. i only say it runs small because it is a cropped style so expect it to be short  but i would agree that the arms are more to the snug side than the loose fi,Fine gauge
1,I am totally in love with this sweater!! it is lightweight  comfortable  and very versatile. throw on a pair of jeans and it is casual. throw on dark slacks or a skirt and it is dressy. the design does not become the focus of the sweater but rather takes it up a notch making it a fun piece to wear. the color is not a light red  but rather a rich cabernet wine color. this sweater is well on its way to becoming one of my all time favorites!!,Fine gauge
1,Loved the red and white stripes and soft fabric  lays nicely has a nice cut. pairs well with jeans and a cute casual jacket or dress it up. nice quality and color!,Fine gauge
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,I love and live in these but the recent scoop tanks i purchased were thin  not as great. so i want to recommend them because they are really versatile but the quality has deminished.,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
0,If your hips are bigger than a size 6 us you can't fully close this robe. the model must be wearing the larger of the two sizes to have such a nice oversized fit. the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt. if i was taller and thinner i would have kept this and worn it every day.,Intimates
1,This is by far the most comfortable bra i've ever owned. i love the convertible strap feature. it's great for shirts with a back cutout.,Intimates
1,Just received the bra and matching panty in the mail and loved it. the true color is a little darker  i would call it a taupe. the fabric is really nice. i am a 34 c and ordered a medium just from my freepeople bra experiences  and they run small. the medium is perfect for my size. i usually order a small panty  and this one fits  it looks smaller than pictured on the model. this set is one of a kind  the pattern on fabric is really beautiful. i think it is worth the price. if you like lingerie ,Intimates
1,This sleep is super flattering on but it runs quite small (and short). it has a lot of stretch to the fabric and my normal size felt like i had a large spanx slip on. like i said  great slip but i'd recommend ordering up a size if you want it to look like the model.,Intimates
1,Well fitting bra  comfortable (not itchy)  lace doesn't show through tops.,Intimates
1,This is a very comfortable bralette- the silk covers one's most sensitive parts  so it feels like you are wearing almost nothing. it's very pretty  too. i wear a 34b bra and the small fits me. it doesn't have a lot of support  but it's very comfortable for wearing at home or on errands. the cups are a little far apart  but it still works. if you're looking for something pretty and comfortable for casual wear  i would recommend this at the sale price.,Intimates
1,I love this gown so much. i have two of them! the gray and pink. they are really soft and comfortable. i sleep in them all of the time.,Intimates
1,This bra is just as cute in person as it is in the pic! i can tell it's pretty well made and i love that it has a lot of little details like on the straps and the cute front-closure and lacy racerback. it also fits pretty true to size  which is a must for me because i often get bras that leave my boobs spilling out. however  this bra isn't the comfiest even though it looks like it would be pretty comfy in the picture.the style doesn't look too stiff or anything and the size i got isn't too tight,Intimates
1,Only the xxs was left  so i was a little concerned that it might be too small. not the case at all thanks to the very functional adjustable straps & high quality of craftsmanship & design. for reference  i'm 32c  5'2 110-115lbs - kind off petite w/an athletic build. the black is lovely classic. the color  along with the beautiful design give this a timeless classic french look. very comfortable  too. love so much i  ordering more!,Intimates
1,The bikini bottoms are high quality and feel very luxurious. order one size up. this line runs small. i read the reviews and ordered a medium. i am normally xs/s in underwear but the medium fits me perfectly. i wish i had ordered in other colors before they sold out! trust me you'll want another pair after trying these on.,Intimates
-1,This was completely different than i expected. the xs/s was so large that it looked messy. unfortunately i had to return it.,Jackets
-1,This is the tiniest blazer i've ever purchased in a size 10. i usually wear an 8  but sized up based on other reviews and it was still too small. it's very attractive but please size true to size,Jackets
-1,I didn't realize that the grey sleeves are attached (i assumed that was just an undershirt on the model). needless to say it looks cheap and poorly made. will be returning,Jackets
-1,I was hoping that this would be a nice neutral layering staple but it simply leaves a lot to be desired. it fits tts  length is fine...the inside is some  but the outside darker material is stiff and cheap (kinda canvas feeling?). the material is super stiff which makes it flare out like like a tent in a super unflattering way. it also is on the thinnish side - it looks in the model shot like it would be a little thicker and warm. this is definitely going back.,Jackets
-1,I wanted to love this  but instead of being a flowy kimono top as pictured- it was a thick blazer type garment. not at all what is pictured here unfortunately. also it was much shorter than pictured and i am only 5'4''.     love most retailer styles  but this one was a miss and a return.,Jackets
-1,I bought this online in the grey and blue and had high hopes. it runs big so size down at least 1-2 sizes. i didn't realize that the sweater looking part on the forearms was part of the coat. that part of the coat is really nice and comfy. unfortunately  the rest of the coat (the wool part) is very itchy. it would've been awesome if it was lined on the inside  but it's not...so i'm taking them back.,Jackets
-1,The fabric of this vest is identical to a old white dish cloth! the cut of this vest is also bad! will be sent back!,Jackets
-1,I wanted this jacket to fit on me like in the photo  but i guess my frame was still to petite. the fabric was also on the cheap end,Jackets
-1,I feel in love with this piece. the color are gorgeous and i received so many compliments. it lifted my mood just wearing it! sadly  ut the end of the first wear i had a run up the front and by the middle of the second wear the light fabric got caught on something and a hole developed. upon further inspection i found another hole at the top where the price tag must have been attached. i also noticed all over pilling after the first wear! so sad! they should recreate this in a heavy fabric.,Jackets
0,If you have any curves at all then this will look like a sack on you. i wanted to love it because of the material and i've been looking for a blazer/ jacket that was heavy in weight. this just looked awful on me. maybe for someone who is very slender this will work but i was highly disappointed in the cut.,Jackets
0,I had such high hopes for this jacket based on the photo  i even waited for it to come back in stock. the detail is beautiful but it is shapeless and boxy. for reference i ordered xs  and i am usually a 0/2 on top (small chested). it might look better on someone with a larger chest but looked like a sack on me. so disappointing.,Jackets
0,Ordered this vest in both the xs and pxs. i liked the length and overall fit of the xs  however  i ended up returning both due to how the vest draped. the outer fabric is a bit more stiff which made the vest balloon out more then what i liked. overall  it?s not a terrible vest but just not for me.,Jackets
0,The material is so soft and cozy. there is just enough padding to keep me warm all year round in southern california. but  i ended up leaving the store without this vest  bc 1)the cut is slightly boxy.  2) every vest had different color variations. you definitely should go into the store to check it out. the ones i saw made the vest have cheap pattern of wide stripes  not an even vintage fade as shown. i'm so sad as everything else is perfect. fits true to size,Jackets
0,The colors on this jacket are a murky blue with a pale mauve tone for the lighter color. size is a bit on the large size. i did not feel that the jacket was that well-made and would hold up to much wear. i was looking for a jacket to dress up jeans  black pants etc and this did not fit that need. it would be a warm jacket if that is a need.,Jackets
0,I was excited to see this offered by retailer because i have been looking for a light blue summer jacket or blazer that isn't a denim jacket and this seemed to fit the bill. i've ordered several cartonnier blazers in 00p  as early as 2013 and as late as spring 2015  and have been very happy with them. on the plus side i would say that the color is depicted accurately and it does seem like a high quality jacket. but while the shoulders and sleeves were a pretty standard fit for 00p  it was much too,Jackets
0,Ordered my regular size large and the fit was a snug around my hips when snapped. i didn't plan on wearing it that way so that wasn't a deal breaker for me. but because i have a larger bust i felt the padding added pounds and lots of width to my frame. i also had the same issues with coloring as other reviewers. and lastly  the collar is really high and it just bugged me. so this one went back.,Jackets
0,First  the good: i like the basic shape of the jacket  with its crisply cut lapels  and rounded corners at the bottom...the functional pockets (including the  cool watch pocket)  the size of the buttons  the color. i got the honey   and it was lovely and intense . now  the bad:  i got the regular 8. the jacket is at least an inch too short. although it's  a small  tight 8  the sleeves are strikingly too long. they would have to  be folded  and the lining which would show is not that attractive.,Jackets
0,This is super cute and the colors are so vibrant and its thin enough to wear with tanks for the summer but it already had a hole forming in the upper back shoulder.  i guess the material was a little too thin....$98 is a little too much money for something that gets holes so easily!,Jackets
1,First saw the jacket online and liked it so i went to the store to check out. the color looks nicer in person.  it fitted me really well and looked really nice on me. the jacket is very soft and well made.  the only thing is the sleeves are a little longer but not a big deal. can't wait to wear it when the full is here!,Jackets
1,I recently purchased this vest and unlike other reviews  i found it to be tts. with that being said  i am typically a medium in retailer tops or 8/10. i have broad shoulders (5'9  145lbs). i purchased the medium and it fit perfect through the shoulders. it is meant to be flowy and gives some volume in a good way. if that's the look you are going for this is the top for you. had i gone down a size  i would not have been able to hook the top. i am going to be wearing this with blue jeans and white s,Jackets
1,Woke up this morning to an email from retailer showcasing this gorgeous jacket. i knew i had to have it. trying it on in the store  it did not disappoint! hei hei is a really wonderful brand  and me being a more plus sized gal  their sizing is always wonderful. i normally do an xl in most retailer jackets and tops ..but i was able to do a l well. the arms have plenty of room and the body of the jacket has a room as well (like your typical bomber would). the fabric is soft and the blush color,Jackets
1,This is going to be my go to all season. looks great with a sweater dress and boots also looks great with cords!,Jackets
1,Love love love. i tried it on a whim when returning a shipped item. it's gorgeous and incredibly flattering. runs large (it's drapey and would likely look good in your normal size since you can synch the waist  but probably best to size down as it seemed large in the bust size - which isn't an issue i usually run into).     it's quickly become a great staple for work. definitely pair it with bodycon pants/ leggings/ skinny jeans - and it looks unique and very professional.,Jackets
1,Very cozy wrap!  the material is so soft.   find myself grabbing this anytime i am chilly day and night.  i offen find my daughter wrapped up in it too!  and with the arm holes it stays on.  very pleased.,Jackets
